"YEAR","NAME","male","female","GEOID","landarea_sqmiles","occ_hu"
1950,"Allston",9925,10835,"Allston",1.377620224,6408
1950,"Back Bay",9037,12191,"Back Bay",0.511201961,6356
1950,"Beacon Hill",6614,7546,"Beacon Hill",0.277307451,4532
1950,"Brighton",21105,25322,"Brighton",2.713007049,14707
1950,"Charlestown",17936,13396,"Charlestown",1.353655249,6738
1950,"Chinatown",1889,912,"Chinatown",0.110478499,606
1950,"Dorchester",77058,84987,"Dorchester",7.277603293,43452
1950,"Downtown",2856,1271,"Downtown",0.647255095,774
1950,"East Boston",25456,25696,"East Boston",4.850957404,13688
1950,"Fenway",11663,14131,"Fenway",1.326096049,9800
1950,"Hyde Park",12718,13410,"Hyde Park",4.979769578,6732
1950,"Jamaica Plain",24424,28402,"Jamaica Plain",3.110286093,13616
1950,"Longwood",981,1612,"Longwood",0.195834104,785
1950,"Mattapan",11658,12189,"Mattapan",2.729303649,6159
1950,"Mission Hill",8979,11887,"Mission Hill",0.601529016,5458
1950,"North End",8644,7703,"North End",0.189964193,4526
1950,"Roslindale",15233,16940,"Roslindale",2.188776843,8459
1950,"Roxbury",49245,53508,"Roxbury",3.464856832,28110
1950,"South Boston",27178,27801,"South Boston",1.768763718,14624
1950,"South Boston Waterfront",336,336,"South Boston Waterfront",1.295507492,196
1950,"South End",24378,21938,"South End",0.845166814,11308
1950,"West End",6471,6438,"West End",0.272439089,3789
1950,"West Roxbury",12608,14457,"West Roxbury",5.134644421,7266
1960,"Allston",9150,9926,"Allston",1.377620224,6779
1960,"Back Bay",7712,10441,"Back Bay",0.511201961,8741
1960,"Beacon Hill",5603,6043,"Beacon Hill",0.277307451,6097
1960,"Brighton",20356,24851,"Brighton",2.713007049,15958
1960,"Charlestown",10372,10264,"Charlestown",1.353655249,5978
1960,"Chinatown",1694,774,"Chinatown",0.110478499,973
1960,"Dorchester",71409,80716,"Dorchester",7.277603293,44298
1960,"Downtown",1933,912,"Downtown",0.647255095,1864
1960,"East Boston",21901,22265,"East Boston",4.850957404,13294
1960,"Fenway",10325,13073,"Fenway",1.326096049,10468
1960,"Hyde Park",14477,15224,"Hyde Park",4.979769578,8106
1960,"Jamaica Plain",23594,27542,"Jamaica Plain",3.110286093,14050
1960,"Longwood",1283,2442,"Longwood",0.195834104,1069
1960,"Mattapan",11887,12522,"Mattapan",2.729303649,6969
1960,"Mission Hill",7493,10359,"Mission Hill",0.601529016,5330
1960,"North End",8145,5939,"North End",0.189964193,4034
1960,"Roslindale",15572,17328,"Roslindale",2.188776843,9199
1960,"Roxbury",34182,39031,"Roxbury",3.464856832,23026
1960,"South Boston",24583,22732,"South Boston",1.768763718,13542
1960,"South Boston Waterfront",878,200,"South Boston Waterfront",1.295507492,130
1960,"South End",16083,13256,"South End",0.845166814,15490
1960,"West End",1001,981,"West End",0.272439089,745
1960,"West Roxbury",13959,15836,"West Roxbury",5.134644421,8544
1970,"Allston",9264,10337,"Allston",1.377620224,7437
1970,"Back Bay",7581,10536,"Back Bay",0.511201961,9206
1970,"Beacon Hill",4816,5495,"Beacon Hill",0.277307451,6084
1970,"Brighton",19194,24865,"Brighton",2.713007049,17109
1970,"Charlestown",7469,7884,"Charlestown",1.353655249,4818
1970,"Chinatown",917,582,"Chinatown",0.110478499,656
1970,"Dorchester",66034,78268,"Dorchester",7.277603293,43208
1970,"Downtown",1053,870,"Downtown",0.647255095,1014
1970,"East Boston",18568,20305,"East Boston",4.850957404,12853
1970,"Fenway",11692,15990,"Fenway",1.326096049,10793
1970,"Hyde Park",16966,18597,"Hyde Park",4.979769578,10803
1970,"Jamaica Plain",20739,24828,"Jamaica Plain",3.110286093,14294
1970,"Longwood",1197,2575,"Longwood",0.195834104,816
1970,"Mattapan",11909,13805,"Mattapan",2.729303649,8280
1970,"Mission Hill",6672,8948,"Mission Hill",0.601529016,5412
1970,"North End",5120,5295,"North End",0.189964193,4050
1970,"Roslindale",15926,18382,"Roslindale",2.188776843,10508
1970,"Roxbury",22839,27845,"Roxbury",3.464856832,16295
1970,"South Boston",17654,20490,"South Boston",1.768763718,13255
1970,"South Boston Waterfront",141,148,"South Boston Waterfront",1.295507492,108
1970,"South End",10856,9641,"South End",0.845166814,8162
1970,"West End",1620,1676,"West End",0.272439089,1808
1970,"West Roxbury",15910,18304,"West Roxbury",5.134644421,10606
1980,"Allston",9897,10431,"Allston",1.377620224,8397
1980,"Back Bay",8995,9341,"Back Bay",0.511201961,10043
1980,"Beacon Hill",5368,5174,"Beacon Hill",0.277307451,5965
1980,"Brighton",19643,25288,"Brighton",2.713007049,19730
1980,"Charlestown",6352,7012,"Charlestown",1.353655249,5252
1980,"Chinatown",1797,1273,"Chinatown",0.110478499,1144
1980,"Dorchester",50671,58803,"Dorchester",7.277603293,36834
1980,"Downtown",2327,2010,"Downtown",0.647255095,2257
1980,"East Boston",15047,17131,"East Boston",4.850957404,12955
1980,"Fenway",14433,12183,"Fenway",1.326096049,10564
1980,"Hyde Park",14134,16225,"Hyde Park",4.979769578,10777
1980,"Jamaica Plain",17257,20573,"Jamaica Plain",3.110286093,13536
1980,"Longwood",1009,2096,"Longwood",0.195834104,461
1980,"Mattapan",10597,12231,"Mattapan",2.729303649,7588
1980,"Mission Hill",5881,7340,"Mission Hill",0.601529016,4940
1980,"North End",4655,4789,"North End",0.189964193,4718
1980,"Roslindale",13497,15819,"Roslindale",2.188776843,10420
1980,"Roxbury",19558,24069,"Roxbury",3.464856832,15882
1980,"South Boston",13874,16251,"South Boston",1.768763718,12506
1980,"South Boston Waterfront",101,90,"South Boston Waterfront",1.295507492,83
1980,"South End",12475,9862,"South End",0.845166814,10053
1980,"West End",2288,2066,"West End",0.272439089,2296
1980,"West Roxbury",14049,17284,"West Roxbury",5.134644421,12055
1990,"Allston",12129,10927,"Allston",1.377620224,8869
1990,"Back Bay",8148,8558,"Back Bay",0.511201961,9670
1990,"Beacon Hill",4435,4705,"Beacon Hill",0.277307451,5534
1990,"Brighton",21868,25361,"Brighton",2.713007049,20558
1990,"Charlestown",6625,7923,"Charlestown",1.353655249,6841
1990,"Chinatown",1438,1367,"Chinatown",0.110478499,1219
1990,"Dorchester",52897,59235,"Dorchester",7.277603293,37745
