"YEAR","GEOID","NAME","chi_pov_stat_det","chi_below_pov","chi_above_pov"
1990,25025000101,"Census Tract 1.01",254,16,238
1990,25025000102,"Census Tract 1.02",298,19,279
1990,25025000201,"Census Tract 2.01",430,16,414
1990,25025000202,"Census Tract 2.02",648,198,450
1990,25025000301,"Census Tract 3.01",345,20,325
1990,25025000302,"Census Tract 3.02",341,20,321
1990,25025000401,"Census Tract 4.01",429,55,374
1990,25025000402,"Census Tract 4.02",327,45,282
1990,25025000502,"Census Tract 5.02",251,40,211
1990,25025000503,"Census Tract 5.03",125,19,106
1990,25025000505,"Census Tract 5.05",110,17,93
1990,25025000506,"Census Tract 5.06",146,22,124
1990,25025000601,"Census Tract 6.01",307,32,275
1990,25025000603,"Census Tract 6.03",302,102,200
1990,25025000604,"Census Tract 6.04",494,167,327
1990,25025000701,"Census Tract 7.01",231,45,186
1990,25025000703,"Census Tract 7.03",209,38,171
1990,25025000704,"Census Tract 7.04",423,77,346
1990,25025000804,"Census Tract 8.04",411,72,339
1990,25025000805,"Census Tract 8.05",494,88,406
1990,25025000806,"Census Tract 8.06",115,28,87
1990,25025000807,"Census Tract 8.07",105,26,79
1990,25025010103,"Census Tract 101.03",3,0,3
1990,25025010104,"Census Tract 101.04",139,28,111
1990,25025010204,"Census Tract 102.04",100,43,57
1990,25025010205,"Census Tract 102.05",77,33,44
1990,25025010206,"Census Tract 102.06",58,25,33
1990,25025010300,"Census Tract 103",289,156,133
1990,25025010403,"Census Tract 104.03",103,68,35
1990,25025010404,"Census Tract 104.04",136,90,46
1990,25025010405,"Census Tract 104.05",94,29,65
1990,25025010408,"Census Tract 104.08",45,19,26
1990,25025010500,"Census Tract 105",70,6,64
1990,25025010600,"Census Tract 106",34,0,34
1990,25025010701,"Census Tract 107.01",103,0,103
1990,25025010702,"Census Tract 107.02",98,0,98
1990,25025010801,"Census Tract 108.01",117,0,117
1990,25025010802,"Census Tract 108.02",122,0,122
1990,25025020101,"Census Tract 201.01",294,27,267
1990,25025020200,"Census Tract 202",213,26,187
1990,25025020301,"Census Tract 203.01",68,1,67
1990,25025020302,"Census Tract 203.02",41,0,41
1990,25025020304,"Census Tract 203.04",4,0,4
1990,25025020305,"Census Tract 203.05",50,0,50
1990,25025030100,"Census Tract 301",71,21,50
1990,25025030200,"Census Tract 302",144,61,83
